tahun,bulan,kuartal,wilayah_enc,komoditas_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3
0.0,1.0,1.0,-1.0,-0.9,0.20253164556962025,0.20507399577167018,0.1851063829787234,0.18736915561758546
0.3333333333333333,-1.2,-2.0,-1.0,-0.9,0.17721518987341772,0.20930232558139536,0.20851063829787234,0.18806699232379626
0.3333333333333333,-1.0,-2.0,-1.0,-0.9,0.270042194092827,0.1839323467230444,0.2127659574468085,0.21179344033496156
0.3333333333333333,-0.8,-2.0,-1.0,-0.9,0.2869198312236287,0.2769556025369979,0.18723404255319148,0.23970690858339147
0.3333333333333333,-0.6,-1.0,-1.0,-0.9,0.3987341772151899,0.2938689217758985,0.28085106382978725,0.31297976273551986
0.3333333333333333,-0.4,-1.0,-1.0,-0.9,0.5337552742616034,0.4059196617336152,0.2978723404255319,0.4002093510118631
0.3333333333333333,-0.2,-1.0,-1.0,-0.9,0.5337552742616034,0.5412262156448203,0.4106382978723404,0.4818562456385205
0.3333333333333333,0.0,0.0,-1.0,-0.9,0.8037974683544303,0.5412262156448203,0.5468085106382978,0.615840893230984
0.3333333333333333,0.2,0.0,-1.0,-0.9,0.8734177215189873,0.8118393234672304,0.5468085106382978,0.728192602930914
0.3333333333333333,0.4,0.0,-1.0,-0.9,0.9345991561181435,0.8816067653276956,0.8191489361702128,0.860781577110956
0.3333333333333333,0.6,1.0,-1.0,-0.9,0.810126582278481,0.9429175475687104,0.8893617021276595,0.8628750872295883
0.3333333333333333,0.8,1.0,-1.0,-0.9,0.7362869198312236,0.8181818181818182,0.951063829787234,0.8175157013258897
0.3333333333333333,1.0,1.0,-1.0,-0.9,0.6983122362869199,0.7441860465116279,0.825531914893617,0.7393579902302861
0.6666666666666666,-1.2,-2.0,-1.0,-0.9,0.7025316455696202,0.7061310782241015,0.7510638297872341,0.703768318213538
0.6666666666666666,-1.0,-2.0,-1.0,-0.9,0.810126582278481,0.7103594080338267,0.7127659574468085,0.728192602930914
0.6666666666666666,-0.8,-2.0,-1.0,-0.9,0.7890295358649789,0.8181818181818182,0.7170212765957447,0.7581995812979763
0.6666666666666666,-0.6,-1.0,-1.0,-0.9,0.7890295358649789,0.7970401691331924,0.825531914893617,0.7868108862526167
0.6666666666666666,-0.4,-1.0,-1.0,-0.9,0.8945147679324894,0.7970401691331924,0.8042553191489362,0.8147243545010467
0.6666666666666666,-0.2,-1.0,-1.0,-0.9,0.9725738396624473,0.9027484143763214,0.8042553191489362,0.8754361479413817
0.6666666666666666,0.0,0.0,-1.0,-0.9,0.930379746835443,0.9809725158562368,0.9106382978723404,0.9221912072575017
0.6666666666666666,0.2,0.0,-1.0,-0.9,0.8713080168776371,0.9386892177589852,0.9893617021276596,0.9145150034891834
0.6666666666666666,0.4,0.0,-1.0,-0.9,0.8291139240506329,0.879492600422833,0.9468085106382979,0.8670621074668527
0.6666666666666666,0.6,1.0,-1.0,-0.9,0.8607594936708861,0.8372093023255814,0.8872340425531915,0.8440334961618982
-1.0,-0.6,-1.0,-1.0,-0.8,-0.4050632911392405,-0.38477801268498946,-0.3851063829787234,-0.39532449406838793
-1.0,-0.4,-1.0,-1.0,-0.8,-0.41561181434599154,-0.39957716701902746,-0.3851063829787234,-0.4036985345429169
-1.0,-0.2,-1.0,-1.0,-0.8,-0.41561181434599154,-0.41014799154334036,-0.4,-0.4120725750174459
-1.0,0.0,0.0,-1.0,-0.8,-0.41561181434599154,-0.41014799154334036,-0.4106382978723404,-0.4155617585484996
-1.0,0.2,0.0,-1.0,-0.8,-0.41139240506329117,-0.41014799154334036,-0.4106382978723404,-0.4141660851360781
-1.0,0.4,0.0,-1.0,-0.8,-0.40717299578059074,-0.4059196617336152,-0.4106382978723404,-0.4113747383112351
-1.0,0.6,1.0,-1.0,-0.8,-0.41350210970464135,-0.40169133192389006,-0.40638297872340423,-0.4106769016050244
-1.0,0.8,1.0,-1.0,-0.8,-0.41139240506329117,-0.4080338266384778,-0.4021276595744681,-0.4106769016050244
-1.0,1.0,1.0,-1.0,-0.8,-0.41139240506329117,-0.4059196617336152,-0.4085106382978723,-0.4120725750174459
